# ['video-games', 'baby', 'grocery-and-gourmet-food', 'digital-music', 'musical-instruments', 'pet-supplies', 'patio-lawn-and-garden', 'beauty', 'automotive', 'office-products']
t:[1076, 1382, 937, 725, 0, 1322, 926, 1405, 939, 714]
outdoors:[0, 88, 20, 8, 32, 136, 104, 32, 32, 12]
throw:[484, 760, 292, 320, 188, 1664, 344, 0, 276, 160]
u:[884, 0, 192, 920, 280, 116, 160, 188, 152, 160]
v:[292, 40, 0, 80, 164, 116, 148, 48, 404, 108]
w:[172, 252, 176, 348, 300, 188, 180, 0, 344, 208]
exciting:[532, 52, 28, 292, 532, 32, 28, 20, 0, 20]
x:[1248, 252, 0, 472, 104, 252, 408, 152, 656, 780]
y:[144, 68, 84, 336, 252, 68, 0, 184, 56, 80]
thank:[748, 444, 792, 788, 792, 668, 432, 748, 0, 760]
z:[196, 20, 20, 88, 68, 8, 0, 12, 36, 20]
information:[268, 124, 124, 88, 440, 224, 140, 0, 208, 564]
inserts:[0, 92, 0, 12, 16, 24, 12, 0, 44, 44]
surgery:[0, 16, 20, 20, 8, 184, 16, 28, 0, 12]
resolve:[12, 12, 8, 0, 28, 52, 8, 0, 16, 28]
powered:[72, 0, 48, 20, 40, 36, 756, 12, 204, 156]
counterpoint:[0, 0, 8, 36, 164, 0, 8, 0, 0, 0]
good:[1153, 0, 1568, 913, 885, 552, 1193, 990, 1277, 1165]
empty:[112, 1144, 172, 112, 136, 688, 424, 140, 188, 0]
rendition:[32, 0, 4, 196, 580, 0, 4, 8, 0, 12]
suffered:[48, 28, 28, 92, 116, 76, 28, 116, 16, 0]
til:[52, 44, 28, 152, 24, 56, 12, 0, 20, 12]
tin:[8, 0, 256, 76, 64, 12, 12, 40, 8, 96]
besides:[480, 224, 120, 356, 312, 100, 100, 0, 80, 88]
tip:[108, 244, 156, 100, 0, 108, 288, 216, 224, 64]
cosmetic:[16, 8, 0, 0, 4, 4, 8, 72, 12, 8]
cha:[0, 4, 4, 88, 16, 0, 0, 4, 0, 0]
others:[1061, 1100, 740, 1636, 1727, 812, 802, 760, 0, 690]
laugh:[240, 40, 44, 144, 148, 112, 36, 28, 0, 72]
making:[1272, 744, 1244, 1284, 1324, 820, 700, 668, 0, 648]
fantasy:[2552, 0, 0, 232, 216, 0, 0, 8, 0, 44]
check:[588, 336, 288, 1460, 884, 568, 424, 0, 680, 448]
walker:[0, 364, 0, 24, 56, 20, 0, 0, 12, 0]
relatives:[12, 92, 32, 8, 28, 8, 8, 0, 0, 32]
supposed:[436, 584, 300, 300, 300, 460, 492, 304, 548, 0]
applied:[0, 40, 48, 36, 76, 316, 116, 560, 320, 24]
harp:[0, 76, 0, 104, 292, 4, 0, 0, 0, 0]
rope:[16, 0, 20, 12, 32, 148, 44, 0, 120, 4]
indispensable:[0, 16, 16, 28, 56, 12, 0, 0, 0, 32]
discs:[308, 44, 8, 272, 568, 12, 16, 0, 16, 0]
representation:[20, 4, 0, 76, 80, 4, 8, 4, 0, 12]
gameboy:[744, 0, 0, 0, 0, 0, 0, 0, 8, 0]
society:[16, 0, 16, 160, 812, 20, 12, 4, 8, 16]
arranged:[24, 4, 8, 212, 184, 4, 4, 16, 0, 44]
nowhere:[176, 56, 56, 192, 224, 36, 44, 32, 0, 40]
provides:[216, 232, 0, 276, 464, 164, 180, 168, 268, 168]
root:[16, 0, 172, 12, 44, 36, 292, 20, 8, 40]
hard:[1236, 1228, 1342, 770, 0, 1164, 1040, 955, 955, 730]
clarinet:[0, 0, 0, 20, 336, 0, 8, 4, 0, 4]
multiplayer:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
effectiveness:[20, 32, 0, 16, 16, 64, 28, 96, 36, 8]
roof:[72, 16, 20, 16, 48, 52, 104, 12, 328, 0]
pilot:[108, 28, 0, 56, 16, 4, 0, 0, 44, 68]
chamois:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
caliber:[132, 0, 4, 44, 96, 0, 4, 0, 0, 0]
blocks:[216, 304, 108, 0, 24, 36, 28, 12, 52, 88]
swords:[140, 0, 0, 348, 0, 0, 0, 0, 0, 0]
realized:[308, 340, 116, 264, 312, 240, 168, 192, 0, 148]
versatile:[24, 132, 124, 104, 112, 0, 48, 24, 44, 80]
magnet:[12, 252, 0, 0, 12, 32, 32, 0, 128, 156]
versus:[120, 32, 48, 32, 40, 52, 76, 32, 0, 32]
room:[608, 3716, 256, 492, 572, 828, 0, 216, 664, 1520]
explosion:[52, 8, 12, 52, 32, 8, 0, 0, 8, 0]
translation:[120, 0, 8, 24, 108, 0, 8, 4, 12, 0]
realizes:[24, 20, 0, 32, 88, 12, 8, 0, 0, 0]
well:[597, 682, 680, 0, 578, 969, 1911, 1113, 2010, 1131]
suitable:[88, 36, 56, 0, 104, 44, 48, 76, 84, 84]
creepy:[248, 0, 0, 84, 32, 12, 0, 8, 8, 16]
taking:[556, 696, 0, 576, 580, 676, 340, 332, 332, 512]
gadget:[20, 32, 16, 0, 0, 68, 64, 16, 80, 32]
hilarious:[208, 8, 16, 88, 124, 104, 24, 0, 0, 36]
immortal:[12, 0, 0, 48, 180, 0, 4, 4, 0, 0]
rainy:[28, 0, 12, 132, 56, 8, 28, 4, 52, 24]
loved:[1140, 1996, 1344, 998, 1320, 1178, 294, 804, 0, 788]
experiment:[96, 36, 88, 140, 100, 24, 36, 24, 0, 20]
struck:[52, 8, 0, 104, 172, 0, 36, 16, 8, 12]
hate:[724, 348, 188, 596, 440, 324, 220, 332, 0, 172]
block:[212, 348, 120, 132, 52, 0, 112, 56, 152, 68]
flow:[72, 216, 60, 740, 292, 0, 464, 48, 172, 64]
order:[607, 544, 2652, 0, 413, 999, 971, 1256, 836, 1406]
protecting:[48, 36, 24, 0, 16, 24, 12, 28, 68, 12]
went:[837, 1468, 818, 1048, 883, 1297, 1081, 964, 1000, 0]
hasn:[288, 396, 0, 336, 220, 500, 184, 204, 160, 144]
considering:[552, 348, 0, 392, 416, 216, 256, 200, 192, 216]
joystick:[436, 0, 0, 0, 0, 0, 0, 0, 0, 0]
traveling:[108, 164, 52, 80, 0, 64, 328, 100, 112, 64]
cords:[128, 276, 0, 12, 36, 4, 232, 8, 180, 24]
bringing:[116, 48, 48, 176, 304, 72, 36, 24, 32, 0]
presses:[20, 48, 20, 0, 20, 4, 0, 8, 0, 36]
spots:[116, 56, 0, 116, 80, 128, 300, 508, 404, 96]
crazy:[708, 236, 236, 648, 236, 492, 144, 248, 124, 0]
myst:[676, 0, 0, 0, 0, 0, 0, 0, 0, 0]
women:[76, 52, 0, 304, 1064, 36, 56, 356, 40, 64]
remix:[0, 0, 0, 476, 120, 0, 0, 12, 0, 12]
compressor:[0, 0, 0, 0, 0, 0, 36, 0, 220, 0]
thats:[748, 128, 104, 368, 152, 116, 88, 140, 136, 0]
pink:[100, 120, 188, 1076, 0, 48, 48, 100, 64, 328]
woman:[128, 68, 52, 632, 672, 76, 156, 264, 44, 0]
save:[2128, 860, 456, 292, 0, 740, 660, 368, 496, 460]
leaked:[12, 784, 40, 0, 4, 28, 192, 108, 96, 80]
protection:[56, 132, 40, 164, 0, 132, 84, 232, 252, 80]
toe:[0, 20, 0, 100, 92, 20, 28, 36, 0, 12]
matter:[972, 704, 272, 1124, 1152, 572, 352, 304, 336, 0]
irony:[28, 0, 4, 84, 80, 4, 0, 0, 0, 0]
mandatory:[48, 8, 0, 24, 28, 4, 0, 0, 0, 20]
trusty:[12, 0, 8, 8, 12, 16, 12, 16, 12, 56]
ton:[212, 164, 136, 100, 0, 116, 124, 96, 136, 80]
tom:[20, 0, 12, 292, 144, 8, 16, 28, 0, 4]
top:[670, 2029, 704, 1528, 978, 880, 906, 662, 1061, 0]
listens:[12, 8, 0, 348, 180, 0, 0, 0, 0, 12]
noise:[120, 532, 0, 188, 508, 688, 384, 28, 472, 124]
adagio:[0, 0, 0, 0, 408, 0, 0, 0, 0, 0]
toy:[44, 3928, 28, 12, 96, 5572, 92, 0, 168, 56]
energetic:[24, 4, 4, 256, 232, 112, 4, 20, 0, 8]
avail:[20, 64, 32, 0, 8, 72, 16, 48, 24, 60]
taller:[12, 116, 12, 0, 4, 12, 144, 12, 24, 20]
gaming:[1976, 0, 0, 0, 0, 0, 0, 0, 8, 12]
product:[350, 552, 938, 0, 123, 1589, 1014, 3066, 1472, 853]
question:[268, 68, 60, 396, 440, 88, 96, 0, 76, 144]
lover:[92, 60, 276, 504, 436, 92, 0, 44, 12, 108]
loves:[481, 3036, 746, 212, 478, 3311, 0, 600, 230, 716]
vinegar:[0, 28, 520, 8, 0, 12, 16, 24, 12, 0]
spirit:[116, 4, 16, 352, 620, 16, 16, 4, 0, 28]
ross:[4, 0, 12, 20, 68, 0, 172, 8, 0, 0]
cheap:[944, 816, 388, 0, 416, 776, 1160, 728, 1064, 856]
produce:[92, 104, 148, 336, 340, 72, 84, 0, 88, 68]
picture:[396, 452, 420, 360, 996, 344, 320, 0, 332, 824]
warmer:[0, 532, 24, 44, 36, 28, 20, 20, 56, 0]
cheat:[420, 4, 20, 20, 48, 12, 4, 0, 0, 40]
itunes:[8, 4, 0, 56, 52, 0, 0, 0, 0, 4]
perfected:[40, 8, 12, 56, 32, 12, 0, 0, 0, 0]
regard:[72, 0, 20, 120, 128, 28, 16, 16, 32, 20]
undoubtedly:[48, 12, 20, 84, 92, 0, 0, 8, 0, 4]
witch:[188, 0, 4, 40, 32, 0, 0, 48, 0, 12]
rose:[88, 0, 84, 188, 180, 0, 116, 88, 0, 12]
markers:[4, 8, 0, 0, 0, 0, 16, 4, 0, 152]
com:[320, 0, 344, 252, 356, 232, 276, 272, 268, 324]
microfiber:[0, 0, 0, 0, 0, 0, 0, 0, 148, 0]
con:[136, 60, 0, 60, 184, 60, 80, 108, 80, 76]
minor:[388, 184, 0, 344, 1068, 148, 208, 208, 148, 172]
impeller:[0, 0, 0, 0, 0, 0, 116, 0, 0, 0]
yelling:[24, 20, 0, 24, 28, 24, 0, 0, 0, 12]
spool:[0, 0, 0, 0, 0, 0, 1092, 0, 8, 4]
arrows:[72, 12, 0, 12, 0, 0, 0, 0, 0, 12]
translated:[44, 8, 0, 16, 80, 0, 8, 0, 0, 12]
lab:[72, 24, 16, 24, 16, 1228, 20, 20, 0, 92]
pray:[16, 20, 4, 36, 300, 4, 8, 16, 0, 12]
abilities:[336, 20, 4, 100, 80, 4, 8, 12, 0, 12]
breastmilk:[0, 156, 0, 0, 0, 0, 0, 0, 0, 0]
biggest:[416, 320, 0, 496, 320, 156, 128, 92, 92, 108]
towel:[16, 184, 28, 0, 12, 64, 16, 116, 460, 0]
defective:[80, 100, 24, 0, 44, 148, 164, 40, 184, 236]
function:[216, 152, 0, 32, 72, 140, 152, 44, 212, 528]
west:[24, 12, 88, 564, 432, 0, 60, 24, 64, 24]
owns:[124, 20, 12, 52, 36, 36, 24, 0, 32, 8]
pipe:[60, 0, 28, 28, 52, 28, 412, 4, 72, 0]
hated:[224, 432, 64, 92, 104, 164, 64, 88, 0, 28]
traffic:[36, 28, 0, 140, 48, 20, 0, 0, 92, 8]
tower:[128, 8, 12, 60, 24, 8, 4, 0, 8, 12]
timed:[56, 8, 12, 8, 20, 40, 8, 8, 0, 16]
comparison:[216, 88, 156, 364, 436, 0, 128, 68, 72, 92]
law:[92, 376, 164, 172, 136, 0, 120, 104, 124, 84]
including:[828, 0, 360, 1048, 1308, 288, 236, 324, 268, 364]
lay:[56, 400, 0, 176, 112, 128, 272, 36, 88, 96]
plenty:[580, 592, 292, 452, 424, 232, 416, 0, 320, 512]
christmas:[544, 784, 784, 0, 768, 544, 140, 460, 280, 672]
adventure:[1972, 0, 20, 68, 72, 8, 12, 4, 24, 16]
condition:[1440, 0, 508, 404, 376, 288, 292, 600, 288, 948]
defeats:[16, 40, 4, 0, 0, 32, 8, 12, 48, 12]
were:[722, 822, 2212, 624, 880, 968, 936, 0, 852, 1520]
improve:[216, 48, 0, 76, 156, 112, 88, 144, 104, 88]
try:[896, 960, 2472, 396, 0, 1226, 664, 1804, 778, 428]
lbs:[0, 284, 156, 8, 16, 844, 144, 24, 216, 12]
chicken:[32, 0, 1068, 36, 40, 276, 60, 24, 16, 8]
hazy:[0, 0, 0, 100, 20, 0, 0, 0, 0, 0]
reorder:[0, 8, 112, 0, 4, 36, 16, 60, 12, 20]
scenery:[232, 16, 0, 0, 508, 0, 0, 0, 0, 0]
lcd:[116, 0, 0, 0, 8, 0, 0, 0, 80, 108]
timer:[40, 60, 24, 8, 16, 500, 468, 0, 40, 32]
effective:[112, 256, 104, 168, 348, 532, 396, 848, 292, 0]
teaches:[48, 56, 8, 20, 132, 8, 28, 0, 0, 44]
times:[1249, 1272, 628, 941, 959, 1083, 1245, 912, 1096, 0]
teacher:[12, 44, 36, 100, 448, 12, 12, 16, 0, 780]
similarly:[16, 0, 8, 64, 108, 4, 20, 12, 12, 16]
muscle:[16, 20, 20, 44, 28, 12, 84, 12, 44, 0]
jelly:[4, 8, 364, 0, 24, 0, 0, 28, 20, 0]
floor:[196, 1356, 0, 180, 220, 752, 72, 140, 704, 96]
direction:[240, 88, 0, 312, 644, 52, 160, 32, 104, 28]
printers:[8, 0, 0, 0, 0, 0, 0, 0, 0, 312]
comments:[128, 204, 0, 220, 296, 96, 156, 132, 100, 120]
realizing:[36, 52, 20, 52, 96, 16, 12, 0, 24, 16]
cry:[160, 172, 56, 348, 464, 44, 20, 32, 0, 16]
opening:[352, 920, 188, 816, 1004, 320, 224, 0, 272, 112]
doctor:[64, 144, 96, 32, 64, 120, 16, 384, 0, 60]
doggie:[4, 0, 0, 8, 8, 124, 0, 0, 0, 4]
activities:[16, 260, 8, 8, 60, 48, 12, 0, 0, 364]
pillow:[4, 124, 0, 20, 28, 12, 0, 44, 0, 12]
directing:[0, 0, 0, 0, 248, 0, 12, 0, 24, 4]
respond:[76, 32, 20, 24, 68, 48, 44, 0, 28, 60]
solos:[0, 4, 0, 696, 408, 0, 8, 4, 0, 20]
maintenance:[12, 60, 20, 0, 20, 264, 324, 36, 172, 24]
tub:[0, 3468, 64, 12, 16, 76, 44, 384, 28, 8]
cluster:[12, 0, 0, 8, 0, 0, 12, 8, 8, 0]
caught:[188, 352, 56, 336, 276, 220, 332, 56, 88, 0]
japan:[228, 0, 220, 124, 108, 0, 0, 8, 28, 28]
concert:[4, 16, 8, 608, 944, 0, 0, 28, 8, 20]
flawless:[244, 8, 8, 260, 292, 0, 32, 48, 20, 32]
supply:[72, 148, 212, 40, 0, 248, 184, 152, 264, 296]
lee:[28, 0, 28, 308, 1596, 4, 16, 8, 0, 0]
leg:[56, 96, 8, 0, 44, 216, 44, 56, 48, 8]
beautiful:[762, 247, 396, 2725, 3136, 180, 216, 532, 0, 1674]
mountain:[200, 24, 180, 92, 2436, 52, 20, 0, 20, 20]
worked:[824, 990, 425, 0, 134, 1548, 1874, 899, 2263, 976]
medications:[0, 8, 28, 0, 0, 60, 0, 68, 0, 4]
les:[0, 0, 8, 32, 188, 12, 4, 20, 0, 0]
state:[184, 108, 192, 516, 508, 108, 124, 0, 216, 140]
worker:[0, 24, 56, 20, 24, 24, 16, 48, 16, 24]
press:[268, 368, 152, 116, 128, 124, 100, 92, 0, 460]
appointments:[0, 32, 0, 0, 0, 4, 0, 0, 0, 512]
discription:[4, 0, 12, 0, 0, 4, 12, 0, 24, 12]
picky:[48, 44, 116, 40, 0, 280, 28, 60, 36, 44]
night:[536, 1832, 304, 1788, 1200, 836, 532, 1968, 564, 0]
pack:[620, 1516, 764, 0, 104, 344, 380, 340, 160, 264]
labels:[16, 0, 40, 228, 240, 20, 20, 84, 28, 240]
cartridge:[428, 104, 0, 4, 8, 16, 96, 0, 0, 2160]
rendered:[276, 0, 16, 28, 80, 4, 8, 0, 0, 16]
restrained:[8, 0, 0, 76, 120, 0, 0, 4, 0, 4]
items:[1200, 588, 388, 0, 156, 264, 336, 272, 620, 500]
thirty:[60, 24, 40, 112, 136, 36, 52, 36, 0, 32]
cup:[64, 440, 1740, 72, 48, 248, 44, 52, 292, 0]
wasting:[88, 64, 24, 48, 0, 52, 108, 80, 20, 40]
perfectly:[948, 756, 476, 900, 776, 476, 888, 0, 1204, 1004]
cut:[672, 0, 524, 1056, 696, 460, 3004, 404, 540, 496]
entertainment:[412, 156, 0, 96, 168, 88, 32, 16, 20, 0]
document:[4, 12, 4, 76, 132, 4, 4, 12, 0, 88]
cuz:[216, 28, 12, 164, 48, 36, 8, 28, 12, 0]
dollars:[384, 160, 160, 0, 152, 164, 192, 180, 228, 256]
weighed:[0, 28, 28, 4, 4, 24, 24, 20, 0, 4]
battery:[324, 404, 20, 0, 76, 760, 760, 16, 4388, 916]
moment:[348, 140, 84, 752, 664, 160, 92, 0, 68, 64]
promote:[20, 8, 8, 32, 56, 12, 12, 28, 0, 16]
tear:[144, 172, 48, 140, 160, 368, 204, 0, 96, 184]
scenario:[104, 12, 4, 20, 28, 12, 4, 0, 0, 4]
teas:[0, 0, 868, 0, 0, 0, 4, 8, 0, 0]
skinny:[24, 44, 0, 16, 12, 20, 32, 16, 20, 96]
reissue:[0, 0, 0, 380, 192, 0, 0, 16, 0, 0]
attach:[44, 368, 12, 0, 28, 96, 440, 40, 336, 80]
kitchen:[0, 1980, 360, 44, 60, 156, 120, 76, 152, 248]
shout:[12, 8, 0, 84, 48, 4, 8, 12, 0, 0]
situation:[176, 92, 0, 116, 276, 156, 152, 92, 120, 72]
cvs:[0, 16, 16, 0, 0, 12, 0, 132, 0, 0]
think:[1318, 1002, 942, 1276, 1020, 1092, 770, 990, 0, 882]
dodge:[104, 0, 0, 0, 0, 12, 0, 8, 160, 0]
peices:[24, 20, 0, 0, 20, 4, 0, 0, 0, 4]
ingredient:[4, 0, 440, 0, 4, 120, 4, 156, 0, 0]
refused:[28, 56, 40, 32, 68, 96, 16, 0, 24, 44]
shells:[88, 0, 24, 4, 12, 0, 8, 0, 0, 4]
forbidden:[0, 0, 4, 8, 216, 0, 0, 0, 0, 0]
replaced:[148, 292, 0, 160, 128, 420, 752, 120, 540, 416]
team:[804, 0, 12, 176, 140, 20, 8, 36, 28, 68]
stuffed:[24, 120, 72, 12, 12, 344, 8, 0, 12, 12]
teak:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
krauss:[0, 0, 0, 620, 0, 0, 0, 0, 0, 0]
filling:[0, 176, 268, 52, 60, 148, 192, 132, 84, 44]
pads:[76, 308, 0, 0, 52, 44, 20, 220, 56, 172]
violinist:[0, 0, 0, 36, 264, 0, 0, 4, 0, 0]
watch:[584, 472, 164, 172, 1556, 452, 584, 0, 200, 124]
purple:[152, 92, 84, 96, 48, 24, 84, 56, 0, 120]
quit:[204, 0, 84, 256, 112, 212, 160, 108, 80, 68]
economical:[0, 200, 88, 0, 24, 72, 68, 64, 48, 40]
polish:[24, 8, 0, 28, 172, 4, 16, 44, 200, 212]
cabinet:[8, 436, 72, 0, 20, 40, 0, 84, 24, 80]
thing:[982, 1698, 680, 0, 502, 1478, 1250, 836, 1272, 864]
medical:[16, 40, 48, 4, 4, 52, 8, 92, 0, 56]
lid:[8, 820, 144, 0, 4, 732, 88, 128, 140, 28]
clips:[80, 96, 0, 96, 96, 32, 120, 0, 164, 64]
converter:[24, 0, 0, 8, 4, 4, 4, 4, 112, 4]
tedious:[240, 24, 12, 28, 48, 12, 40, 0, 8, 24]
anne:[4, 0, 4, 28, 428, 0, 4, 0, 0, 0]
smell:[56, 3300, 564, 48, 72, 1252, 184, 3396, 292, 0]
blender:[0, 0, 104, 4, 0, 8, 0, 4, 0, 0]
domestic:[8, 0, 16, 44, 68, 12, 0, 0, 0, 0]
kevin:[28, 0, 0, 100, 48, 0, 0, 0, 0, 8]
holidays:[32, 24, 144, 20, 100, 44, 12, 0, 0, 300]
paying:[104, 0, 156, 128, 92, 140, 132, 104, 124, 120]
dying:[216, 48, 64, 116, 80, 76, 48, 0, 48, 24]
separation:[0, 12, 12, 40, 84, 16, 0, 8, 8, 0]
blows:[128, 24, 20, 180, 108, 24, 104, 0, 88, 28]
dogs:[128, 280, 124, 76, 24, 6536, 76, 0, 64, 32]
shoot:[656, 60, 0, 28, 32, 20, 80, 12, 12, 8]
starts:[516, 476, 120, 760, 496, 344, 240, 176, 288, 0]
budget:[76, 72, 0, 36, 344, 28, 32, 56, 40, 80]
actual:[552, 276, 224, 292, 364, 236, 144, 0, 176, 272]
glass:[56, 140, 412, 192, 100, 68, 0, 68, 504, 72]
eastern:[0, 0, 48, 64, 116, 0, 20, 12, 12, 12]
chess:[196, 0, 0, 32, 20, 0, 0, 0, 0, 0]
ultimate:[388, 316, 68, 280, 208, 28, 0, 24, 36, 40]
ballad:[4, 0, 0, 1064, 224, 0, 12, 12, 0, 12]
doubt:[496, 132, 148, 1328, 616, 0, 124, 132, 184, 136]
merit:[20, 0, 0, 68, 60, 4, 0, 4, 0, 4]
develop:[144, 48, 52, 68, 152, 48, 60, 64, 24, 0]
easiest:[136, 132, 48, 0, 40, 76, 108, 44, 48, 40]
shops:[24, 0, 100, 20, 20, 8, 24, 40, 52, 32]
page:[100, 200, 76, 364, 292, 52, 88, 0, 96, 1128]
assume:[116, 56, 84, 80, 136, 84, 60, 0, 100, 52]
thumbs:[100, 80, 64, 0, 52, 68, 52, 52, 60, 40]
full:[760, 1444, 964, 1426, 1582, 884, 904, 0, 852, 672]
pepper:[8, 0, 1008, 620, 44, 4, 28, 8, 0, 0]
chevy:[4, 0, 0, 20, 0, 12, 8, 0, 156, 0]
mellow:[0, 4, 120, 560, 228, 4, 0, 12, 0, 12]
cards:[380, 24, 20, 36, 36, 20, 12, 0, 36, 1060]
memory:[1156, 56, 56, 492, 364, 28, 48, 0, 36, 456]
aspects:[272, 0, 20, 120, 220, 24, 12, 16, 24, 44]
house:[616, 2292, 544, 844, 692, 1960, 1420, 408, 840, 0]
